Date,Name,Account,Amount,Currency,Catergory
02-02-2026,"GOOGLE*WORKSPACE NOLIM, CC GOOGLE.COM, beløb omregnet fra -28,20 EUR til kurs 746,919070",Lønkonto,"-210,63",DKK,Computer
02-02-2026,"PAYEX/PROFIL OPTIK, VISBY,",Lønkonto,"-177,9",DKK,Briller
02-02-2026,nettolager.dk\Groftevej 4 B \Soro\ Notanr 25481046033096747724323,Lønkonto,-399,DKK,Husleje
02-02-2026,MobilePay Michael Graff,Lønkonto,1500,DKK,Fy
02-02-2026,Til Budgetkonto,Lønkonto,-7000,DKK,Til budget
02-02-2026,"Wolt, Copenhagen",Lønkonto,"-223,5",DKK,Mad
02-02-2026,"CIRCLE K SNAREMOSEVEJ,\SNAREMOSEVEJ 180, ERRITSO \FREDERICIA Notanr 05438736032703169155398",Lønkonto,-32,DKK,Mad
02-02-2026,MobilePay køb MobilePay Flexii,Lønkonto,-94,DKK,Telefon
02-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736031703061505188",Lønkonto,-71,DKK,Mad
02-02-2026,MobilePay Rebecca Bang Stensen,Lønkonto,700,DKK,Fy
02-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736030702961142671",Lønkonto,-69,DKK,Mad
02-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736030702961139206",Lønkonto,-71,DKK,Mad
29-01-2026,"Prime Video, LONDON,",Lønkonto,"-69,01",DKK,Div
29-01-2026,"CIRCLE K SNAREMOSEVEJ,\SNAREMOSEVEJ 180, ERRITSO \FREDERICIA Notanr 05438736029702859444356",Lønkonto,-32,DKK,Mad
29-01-2026,Husleje,Lønkonto,-3350,DKK,Husleje
29-01-2026,Overførsel,Lønkonto,-1000,DKK,Til opssparing
29-01-2026,Lønoverførsel,Lønkonto,"24141,67",DKK,Løn
28-01-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736028702758070162",Lønkonto,-61,DKK,Mad
28-01-2026,"PAYPAL *alialisen1771, 35314369001 Nota nr. 85402516027603619421167",Lønkonto,-5425,DKK,Fy
27-01-2026,REMA 1000 NR. B Notanr 05309416026800149350306,Lønkonto,"-184,4",DKK,Mad
27-01-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736027702653024679",Lønkonto,-71,DKK,Mad
27-01-2026,Overførsel,Lønkonto,1000,DKK,Fra opsparing
27-01-2026,"help.hbomax.com, Stockholm",Lønkonto,-39,DKK,Div
27-01-2026,"OPENAI *CHATGPT SUBSCR, DUBLIN",Lønkonto,-179,DKK,Computer
26-01-2026,MobilePay: MobilePay Mikkel Beck Nannberg,Lønkonto,-50,DKK,Udlån
26-01-2026,Kontanten 099908 02822400,Lønkonto,-3000,DKK,Fy
26-01-2026,MCDERRITSO2 Notanr 05438736025702543470845,Lønkonto,-82,DKK,Mad
26-01-2026,MCDERRITSO2 Notanr 05438736024702445129409,Lønkonto,-90,DKK,Mad
26-01-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736024702361877999",Lønkonto,-32,DKK,Mad
26-01-2026,"GOOGLE*YOUTUBEPREMIUM, LONDON,",Lønkonto,-139,DKK,Computer
26-01-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736023702259171597",Lønkonto,-57,DKK,Mad
26-01-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736023702259170656",Lønkonto,-32,DKK,Mad
22-01-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736022702160523739",Lønkonto,-57,DKK,Mad
